num,Date,Open
588,2016-08-11,11
589,2016-08-12,11
590,2016-08-13,13
591,2016-08-14,7
592,2016-08-15,9
593,2016-08-16,18
594,2016-08-17,5
595,2016-08-18,8
596,2016-08-19,11
597,2016-08-20,7
598,2016-08-21,13
599,2016-08-22,20
600,2016-08-23,10
601,2016-08-24,6
602,2016-08-25,8
603,2016-08-26,12
604,2016-08-27,12
605,2016-08-28,16
606,2016-08-29,10
607,2016-08-30,10
608,2016-08-31,9
609,2016-09-01,17
610,2016-09-02,12
611,2016-09-03,17
612,2016-09-04,11
613,2016-09-05,15
614,2016-09-06,11
615,2016-09-07,9
616,2016-09-08,14
617,2016-09-09,15
618,2016-09-10,9
619,2016-09-11,10
620,2016-09-12,14
621,2016-09-13,12
622,2016-09-14,11
623,2016-09-15,8
624,2016-09-16,5
625,2016-09-17,9
626,2016-09-18,10
627,2016-09-19,12
628,2016-09-20,9
629,2016-09-21,9
630,2016-09-22,11
631,2016-09-23,14
632,2016-09-24,8
633,2016-09-25,14
634,2016-09-26,15
635,2016-09-27,8
636,2016-09-28,16
637,2016-09-29,12
638,2016-09-30,16
639,2016-10-01,15
640,2016-10-02,17
641,2016-10-03,13
642,2016-10-04,13
643,2016-10-05,14
644,2016-10-06,16
645,2016-10-07,19
646,2016-10-08,12
647,2016-10-09,11
648,2016-10-10,21
649,2016-10-11,7
650,2016-10-12,11
651,2016-10-13,13
652,2016-10-14,17
653,2016-10-15,11
654,2016-10-16,10
655,2016-10-17,7
656,2016-10-18,12
657,2016-10-19,13
658,2016-10-20,14
659,2016-10-21,14
660,2016-10-22,8
661,2016-10-23,11
662,2016-10-24,22
663,2016-10-25,14
664,2016-10-26,5
665,2016-10-27,16
666,2016-10-28,12
667,2016-10-29,11
668,2016-10-30,16
669,2016-10-31,15
670,2016-11-01,13
671,2016-11-02,15
672,2016-11-03,14
673,2016-11-04,16
674,2016-11-05,18
675,2016-11-06,8
676,2016-11-07,16
677,2016-11-08,13
678,2016-11-09,14
679,2016-11-10,9
680,2016-11-11,12
681,2016-11-12,18
682,2016-11-13,13
683,2016-11-14,7
684,2016-11-15,13
685,2016-11-16,8
686,2016-11-17,16
687,2016-11-18,10
688,2016-11-19,11
689,2016-11-20,15
690,2016-11-21,11
691,2016-11-22,9
692,2016-11-23,12
693,2016-11-24,10
694,2016-11-25,9
695,2016-11-26,23
696,2016-11-27,14
697,2016-11-28,18
698,2016-11-29,15
699,2016-11-30,16
700,2016-12-01,17
701,2016-12-02,22
702,2016-12-03,17
703,2016-12-04,13
704,2016-12-05,16
705,2016-12-06,5
706,2016-12-07,10
707,2016-12-08,9
708,2016-12-09,17
709,2016-12-10,14
710,2016-12-11,5
711,2016-12-12,12
712,2016-12-13,15
713,2016-12-14,10
714,2016-12-15,9
715,2016-12-16,21
716,2016-12-17,8
717,2016-12-18,11
718,2016-12-19,13
719,2016-12-20,9
720,2016-12-21,15
721,2016-12-22,8
722,2016-12-23,13
723,2016-12-24,12
724,2016-12-25,12
725,2016-12-26,5
726,2016-12-27,17
727,2016-12-28,13
728,2016-12-29,23
729,2016-12-30,16
730,2016-12-31,13
731,2017-01-01,11
732,2017-01-02,15
733,2017-01-03,13
734,2017-01-04,5
735,2017-01-05,14
736,2017-01-06,12
737,2017-01-07,9
738,2017-01-08,8
739,2017-01-09,10
740,2017-01-10,12
741,2017-01-11,11
742,2017-01-12,6
743,2017-01-13,8
744,2017-01-14,11
745,2017-01-15,11
746,2017-01-16,18
747,2017-01-17,14
748,2017-01-18,17
749,2017-01-19,15
750,2017-01-20,19
751,2017-01-21,9
752,2017-01-22,16
753,2017-01-23,9
754,2017-01-24,9
755,2017-01-25,11
756,2017-01-26,13
757,2017-01-27,11
758,2017-01-28,2
759,2017-01-29,6
760,2017-01-30,9
761,2017-01-31,8
762,2017-02-01,9
763,2017-02-02,15
764,2017-02-03,16
765,2017-02-04,12
766,2017-02-05,8
767,2017-02-06,6
768,2017-02-07,11
769,2017-02-08,8
770,2017-02-09,6
771,2017-02-10,12
772,2017-02-11,8
773,2017-02-12,14
774,2017-02-13,9
775,2017-02-14,14
776,2017-02-15,7
777,2017-02-16,14
778,2017-02-17,5
779,2017-02-18,11
780,2017-02-19,7
781,2017-02-20,9
782,2017-02-21,8
783,2017-02-22,10
784,2017-02-23,7
785,2017-02-24,10
786,2017-02-25,8
787,2017-02-26,4
788,2017-02-27,13
789,2017-02-28,13
790,2017-03-01,11
791,2017-03-02,8
792,2017-03-03,10
793,2017-03-04,9
794,2017-03-05,10
795,2017-03-06,11
796,2017-03-07,12
797,2017-03-08,10
798,2017-03-09,9
799,2017-03-10,12
800,2017-03-11,8
801,2017-03-12,8
802,2017-03-13,10
803,2017-03-14,10
804,2017-03-15,12
805,2017-03-16,10
806,2017-03-17,11
807,2017-03-18,13
808,2017-03-19,10
809,2017-03-20,7
810,2017-03-21,9
811,2017-03-22,10
812,2017-03-23,10
813,2017-03-24,4
814,2017-03-25,7
815,2017-03-26,6
816,2017-03-27,10
817,2017-03-28,7
818,2017-03-29,7
819,2017-03-30,12
820,2017-03-31,3
821,2017-04-01,10
822,2017-04-02,8
823,2017-04-03,5
824,2017-04-04,6
825,2017-04-05,13
826,2017-04-06,6
827,2017-04-07,14
828,2017-04-08,8
829,2017-04-09,5
830,2017-04-10,9
831,2017-04-11,12
832,2017-04-12,12
833,2017-04-13,12
834,2017-04-14,9
835,2017-04-15,9
836,2017-04-16,13
837,2017-04-17,9
838,2017-04-18,5
839,2017-04-19,8
840,2017-04-20,7
841,2017-04-21,8
842,2017-04-22,8
843,2017-04-23,2
844,2017-04-24,16
845,2017-04-25,7
846,2017-04-26,7
847,2017-04-27,13
848,2017-04-28,8
849,2017-04-29,14
850,2017-04-30,15
851,2017-05-01,12
852,2017-05-02,6
853,2017-05-03,10
854,2017-05-04,13
855,2017-05-05,12
856,2017-05-06,18
857,2017-05-07,8
858,2017-05-08,13
859,2017-05-09,14
860,2017-05-10,10
861,2017-05-11,11
862,2017-05-12,8
863,2017-05-13,11
864,2017-05-14,7
865,2017-05-15,16
866,2017-05-16,14
867,2017-05-17,9
868,2017-05-18,16
869,2017-05-19,16
870,2017-05-20,11
871,2017-05-21,12
872,2017-05-22,10
873,2017-05-23,13
874,2017-05-24,12
875,2017-05-25,12
876,2017-05-26,14
877,2017-05-27,11
878,2017-05-28,8
879,2017-05-29,8
880,2017-05-30,10
881,2017-05-31,10
882,2017-06-01,11
883,2017-06-02,7
884,2017-06-03,13
885,2017-06-04,16
886,2017-06-05,12
887,2017-06-06,6
888,2017-06-07,8
889,2017-06-08,6
890,2017-06-09,8
891,2017-06-10,12
892,2017-06-11,5
893,2017-06-12,11
894,2017-06-13,14
895,2017-06-14,8
896,2017-06-15,16
897,2017-06-16,16
898,2017-06-17,7
899,2017-06-18,8
900,2017-06-19,11
901,2017-06-20,12
902,2017-06-21,7
903,2017-06-22,12
904,2017-06-23,10
905,2017-06-24,8
906,2017-06-25,6
907,2017-06-26,9
908,2017-06-27,12
909,2017-06-28,14
910,2017-06-29,14
911,2017-06-30,13
912,2017-07-01,7
913,2017-07-02,8
914,2017-07-03,14
915,2017-07-04,7
916,2017-07-05,20
917,2017-07-06,11
918,2017-07-07,6
919,2017-07-08,14
920,2017-07-09,7
921,2017-07-10,13
922,2017-07-11,9
923,2017-07-12,18
924,2017-07-13,11
925,2017-07-14,13
926,2017-07-15,8
927,2017-07-16,10
928,2017-07-17,12
929,2017-07-18,14
930,2017-07-19,8
931,2017-07-20,15
